"FOLIO","VIV_SEL","HOGAR","C_DENEVI","P3A2_2","P3A2_3","P3A3","P3A4","P3A5","P3A6","P3A7","P3A8_1","P3A8_2","P3A8_3","P3A9","P3A10","P3A11","ENT","TLOC","EST_DIS","UPM_DIS","FACTOR"
"0003726","07","1","1","01","02","3","9","","","","","","","","","","14","2","223","0003726",1168
"0003726","13","1","1","01","","3","2","","05","","2","","","3","1","","14","2","223","0003726",1168
"0003726","18","1","1","01","","3","2","","02","","2","","","9","2","1","14","2","223","0003726",1168
"0003727","08","1","1","01","02","3","2","","08","","1","6","","3","2","2","14","2","222","0003727",1253
"0003727","11","1","1","01","02","1","1","4","","","","","","","","","14","2","222","0003727",1253
"0003727","12","1","1","04","","2","9","","","","","","","","","","14","2","222","0003727",1253
"0003727","12","2","1","01","02","3","4","","05","2","","","","","","","14","2","222","0003727",1253
"0003727","15","1","1","02","","3","4","","02","2","","","","","","","14","2","222","0003727",1253
"0003728","02","1","1","02","","1","1","4","","","","","","","","","14","2","224","0003728",1042
"0003728","05","1","1","01","","3","4","","05","1","1","","","1","2","5","14","2","224","0003728",1042
"0003729","01","1","1","02","","3","4","","08","2","","","","","","","14","3","226","0003729",1080
"0003729","04","1","1","01","","2","4","","08","2","","","","","","","14","3","226","0003729",1080
"0003729","06","1","1","02","","2","1","5","","","","","","","","","14","3","226","0003729",1080
"0003729","07","1","1","01","","1","2","","05","","2","","","2","2","1","14","3","226","0003729",1080
"0003729","20","1","1","01","","3","4","","02","2","","","","","","","14","3","226","0003729",1080
"0003730","05","1","1","02","","1","4","","05","1","1","","","1","2","1","14","3","228","0003730",1369
"0003731","02","1","1","05","","3","4","","05","2","","","","","","","14","3","226","0003731",1240
"0003731","04","1","1","01","","2","1","4","","","","","","","","","14","3","226","0003731",1240
"0003731","09","1","1","08","","1","4","","05","1","1","4","","2","1","","14","3","226","0003731",1240
"0003731","09","2","1","01","","2","4","","02","1","1","4","","5","2","8","14","3","226","0003731",1240
"0003731","11","1","1","01","","3","4","","05","2","","","","","","","14","3","226","0003731",1240
"0003731","16","1","1","04","","2","4","","05","1","2","","","1","2","1","14","3","226","0003731",1240
"0003733","10","1","1","01","","2","4","","03","1","1","","","1","1","","14","3","228","0003733",1385
"0003734","05","1","1","03","","4","4","","05","2","","","","","","","14","3","226","0003734",1085
"0003734","13","1","1","01","","1","4","","01","1","1","","","1","2","1","14","3","226","0003734",1085
"0003734","15","1","1","03","","2","4","","01","1","1","","","1","2","1","14","3","226","0003734",1085
"0003734","15","2","1","02","","3","4","","05","1","1","","","1","2","1","14","3","226","0003734",1085
"0003734","16","1","1","03","","3","4","","05","1","1","","","1","2","1","14","3","226","0003734",1085
"0003735","14","1","1","01","","3","4","","05","1","1","","","3","2","1","14","3","226","0003735",1216
"0003736","05","1","1","03","04","2","4","","05","1","2","4","","4","2","1","14","3","228","0003736",1117
"0003736","05","1","2","04","","2","4","","05","1","2","4","","4","2","1","14","3","228","0003736",1117
"0003736","07","1","1","01","","1","1","5","","","","","","","","","14","3","228","0003736",1117
"0003736","08","1","1","01","","5","4","","06","1","4","","","2","2","9","14","3","228","0003736",1117
"0003738","01","1","1","01","","2","3","","02","","2","","","3","2","2","14","3","227","0003738",1294
"0003738","10","1","1","01","","3","4","","01","2","","","","","","","14","3","227","0003738",1294
"0003738","11","1","1","03","","2","2","","01","","2","","","3","2","8","14","3","227","0003738",1294
"0003738","16","1","1","01","","3","2","","05","","2","","","3","2","1","14","3","227","0003738",1294
"0003739","06","1","1","05","","3","2","","04","","1","2","4","4","1","","14","3","227","0003739",1175
"0003739","07","1","1","02","","2","3","","04","","2","","","4","1","","14","3","227","0003739",1175
"0003739","07","1","2","01","","2","2","","07","","1","","","4","1","","14","3","227","0003739",1175
"0003739","09","1","1","01","","1","9","","","","","","","","","","14","3","227","0003739",1175
"0003739","20","1","1","03","","2","2","","02","","2","","","2","2","1","14","3","227","0003739",1175
"0003740","01","1","1","04","","3","1","2","","","","","","","","","14","3","226","0003740",978
"0003740","06","1","1","01","","2","2","","01","","2","","","2","2","1","14","3","226","0003740",978
"0003740","08","1","1","02","","3","3","","02","","2","","","2","1","","14","3","226","0003740",978
"0003740","10","1","1","01","","6","3","","01","","1","","","1","1","","14","3","226","0003740",978
"0003741","04","1","1","01","","2","2","","05","","7","","","3","2","9","14","3","226","0003741",1313
"0003741","05","1","1","01","","2","3","","05","","1","","","3","1","","14","3","226","0003741",1313
"0003741","06","1","1","01","","3","4","","03","1","6","","","1","2","1","14","3","226","0003741",1313
"0003741","08","1","1","01","","3","4","","07","2","","","","","","","14","3","226","0003741",1313
"0003741","10","1","1","01","","2","4","","05","1","1","","","1","2","3","14","3","226","0003741",1313
"0003741","11","1","1","01","","2","4","","05","1","1","4","","2","2","1","14","3","226","0003741",1313
"0003741","15","1","1","01","","2","4","","05","1","1","","","1","2","2","14","3","226","0003741",1313
"0003741","20","1","1","02","","3","4","","05","2","","","","","","","14","3","226","0003741",1313
"0003742","11","1","1","01","","2","4","","05","1","1","","","2","2","8","14","3","226","0003742",1020
"0003742","15","1","1","02","","2","4","","05","2","","","","","","","14","3","226","0003742",1020
"0003742","17","1","1","01","","2","2","","05","","2","","","3","2","1","14","3","226","0003742",1020
"0003746","01","1","1","02","","2","4","","01","1","1","","","3","2","1","14","4","230","0003746",1500
"0003746","15","1","1","01","","3","4","","05","1","1","","","2","1","","14","4","230","0003746",1500
"0003747","09","1","1","01","","3","4","","05","1","1","","","2","1","","14","4","230","0003747",1654
"0003747","15","1","1","01","","3","4","","07","1","1","","","2","2","1","14","4","230","0003747",1654
"0003747","18","1","1","01","02","3","4","","08","1","1","","","2","2","1","14","4","230","0003747",1654
"0003747","19","1","1","01","","4","4","","05","2","","","","","","","14","4","230","0003747",1654
"0003748","09","1","1","01","","3","4","","01","2","","","","","","","14","4","230","0003748",2160
"0003748","11","2","1","01","","4","4","","05","1","1","","","1","1","","14","4","230","0003748",2160
"0003749","15","1","1","03","","2","1","6","","","","","","","","","14","4","229","0003749",1406
"0003750","10","1","1","02","","2","4","","05","2","","","","","","","14","4","230","0003750",1375
"0003750","12","1","1","01","","3","4","","06","2","","","","","","","14","4","230","0003750",1375
"0003750","15","1","1","01","","3","4","","03","2","","","","","","","14","4","230","0003750",1375
"0003750","17","1","1","01","","3","3","","05","","5","","","5","1","","14","4","230","0003750",1375
"0003751","02","1","1","01","","2","3","","01","","1","4","","4","1","","14","4","230","0003751",1460
"0003751","05","1","1","01","","4","2","","07","","1","4","5","5","2","1","14","4","230","0003751",1460
"0003751","17","1","1","02","","4","2","","03","","3","","","4","2","2","14","4","230","0003751",1460
"0003751","18","1","1","02","","4","4","","01","1","1","","","4","1","","14","4","230","0003751",1460
"0003751","18","1","2","02","","4","2","","01","","4","","","5","1","","14","4","230","0003751",1460
"0003752","09","1","1","02","","3","4","","05","1","3","","","3","1","","14","4","230","0003752",2277
"0003752","18","1","1","04","","3","2","","04","","2","","","3","2","1","14","4","230","0003752",2277
"0003753","16","1","1","01","","3","4","","05","2","","","","","","","14","4","230","0003753",2065
"0003754","11","1","1","01","02","2","4","","05","1","1","","","1","1","","14","4","229","0003754",929
"0003754","12","1","1","01","03","2","4","","05","1","1","","","1","1","","14","4","229","0003754",929
"0003755","12","1","1","03","","1","4","","05","1","1","","","1","1","","14","4","230","0003755",1536
"0003755","20","1","1","01","","4","4","","05","1","4","","","2","1","","14","4","230","0003755",1536
"0003756","15","1","1","01","","2","2","","02","","2","","","9","2","8","14","4","230","0003756",1824
"0003757","03","1","1","01","","3","4","","05","2","","","","","","","14","4","229","0003757",865
"0003757","07","1","1","02","","2","4","","05","1","1","","","3","2","1","14","4","229","0003757",865
"0003758","08","1","1","01","","2","1","3","","","","","","","","","14","4","229","0003758",1285
"0003758","11","1","1","01","","2","2","","01","","1","","","2","9","","14","4","229","0003758",1285
"0003758","14","1","1","01","","3","4","","03","1","1","","","3","1","","14","4","229","0003758",1285
"0003759","05","1","1","01","","4","4","","05","1","1","","","1","2","1","14","2","224","0003759",425
"0003761","05","1","1","03","","3","4","","05","1","1","","","5","2","1","14","1","221","0003761",1592
"0003761","05","1","2","04","","3","4","","05","1","1","","","5","1","","14","1","221","0003761",1592
"0003764","01","1","1","03","","2","2","","02","","2","","","2","2","1","14","2","224","0003764",3609
"0003767","03","1","1","02","","3","4","","01","2","","","","","","","14","2","222","0003767",3450
"0003771","05","1","1","01","","2","3","","04","","4","","","4","2","2","14","1","215","0003771",1433
"0003773","01","1","1","03","","3","4","","05","1","1","","","2","1","","14","3","228","0003773",4193
"0003773","05","1","1","02","","2","4","","05","1","1","3","","3","2","1","14","3","228","0003773",4193
"0003774","04","1","1","02","","3","4","","05","1","1","","","9","1","","14","1","215","0003774",1645
"0003776","01","1","1","01","","3","4","","05","2","","","","","","","14","1","215","0003776",1380
"0003776","01","1","2","02","","5","4","","05","2","","","","","","","14","1","215","0003776",1380
"0003776","03","1","1","02","","3","2","","01","","2","4","","5","1","","14","1","215","0003776",1380
"0003777","02","1","1","01","","3","3","","01","","1","4","","6","1","","14","1","215","0003777",2176
"0003779","01","1","1","03","","2","2","","05","","2","","","9","2","8","15","1","232","0003779",2238
"0003779","03","1","1","01","","2","4","","05","2","","","","","","","15","1","232","0003779",2238
"0003779","05","1","1","03","","2","4","","05","1","1","","","9","1","","15","1","232","0003779",2238
"0003779","05","2","1","01","","2","4","","05","1","1","","","9","2","1","15","1","232","0003779",2238
"0003780","04","1","1","06","","2","2","","05","","1","","","9","1","","15","1","232","0003780",1737
"0003781","04","1","1","02","","1","4","","05","2","","","","","","","15","1","232","0003781",3408
"0003783","01","1","1","01","","3","2","","07","","1","","","9","2","1","15","1","232","0003783",2195
"0003783","02","1","1","01","","2","4","","05","2","","","","","","","15","1","232","0003783",2195
"0003783","04","1","1","01","","1","4","","05","2","","","","","","","15","1","232","0003783",2195
"0003784","03","1","1","03","","3","4","","05","1","1","","","1","1","","15","1","231","0003784",3085
"0003784","05","2","1","01","","3","2","","05","","2","","","9","1","","15","1","231","0003784",3085
"0003789","03","1","1","02","","3","3","","05","","1","2","","2","2","5","15","1","234","0003789",6172
"0003796","03","1","1","01","","3","4","","05","2","","","","","","","15","1","232","0003796",1491
"0003796","04","3","1","01","","2","4","","05","2","","","","","","","15","1","232","0003796",1491
"0003797","04","1","1","02","","2","2","","05","","4","","","4","2","1","15","1","233","0003797",1976
"0003798","02","1","1","01","05","3","2","","05","","1","","","3","2","1","15","1","234","0003798",5449
"0003798","02","1","2","05","","3","2","","05","","2","","","3","2","1","15","1","234","0003798",5449
"0003799","02","1","1","01","","3","4","","08","2","","","","","","","15","1","233","0003799",2044
"0003799","04","1","1","02","","3","2","","05","","2","","","2","2","1","15","1","233","0003799",2044
"0003802","04","1","1","01","","2","4","","01","1","4","","","2","2","1","15","1","232","0003802",2422
"0003803","01","1","1","01","03","2","2","","05","","2","","","2","2","2","15","1","233","0003803",2352
"0003803","01","1","2","03","04","2","2","","05","","2","","","2","2","8","15","1","233","0003803",2352
"0003803","01","1","3","04","","2","2","","05","","2","","","2","2","8","15","1","233","0003803",2352
"0003804","02","1","1","03","","2","2","","05","","5","","","3","2","1","15","1","233","0003804",3004
"0003805","02","1","1","02","","2","2","","05","","2","","","3","2","1","15","1","233","0003805",2744
"0003806","03","1","1","02","","2","4","","06","1","1","","","1","1","","15","1","232","0003806",2036
"0003809","05","1","1","01","","4","4","","01","1","1","","","4","1","","15","1","232","0003809",2054
"0003811","05","1","1","02","","1","4","","01","2","","","","","","","15","1","232","0003811",2662
"0003813","05","1","1","01","","4","4","","02","1","2","","","3","1","","15","1","232","0003813",2736
"0003815","02","1","1","01","","3","2","","03","","1","","","2","2","1","15","1","232","0003815",2386
"0003817","02","1","1","02","","8","2","","03","","4","","","9","2","9","15","1","232","0003817",1565
"0003820","05","1","1","01","","5","4","","05","2","","","","","","","15","1","232","0003820",2475
"0003823","04","1","1","01","","2","4","","05","1","1","","","9","2","8","15","1","232","0003823",2724
"0003824","04","2","1","01","","3","4","","05","2","","","","","","","15","1","232","0003824",2502
"0003825","05","1","1","02","","2","2","","05","","1","","","3","2","9","15","1","232","0003825",2243
"0003827","02","1","1","03","","2","4","","05","2","","","","","","","15","1","232","0003827",1782
"0003827","03","1","1","02","","2","2","","05","","2","","","3","2","3","15","1","232","0003827",1782
"0003828","01","1","1","01","","4","4","","01","1","1","","","4","2","1","15","1","231","0003828",5588
"0003828","04","1","1","01","","2","4","","01","2","","","","","","","15","1","231","0003828",5588
"0003828","05","1","1","04","03","4","4","","03","1","1","","","9","1","","15","1","231","0003828",5588
"0003828","05","1","2","05","","2","4","","05","1","1","","","9","2","9","15","1","231","0003828",5588
"0003828","05","1","3","03","","3","4","","05","1","1","","","9","2","9","15","1","231","0003828",5588
"0003830","05","1","1","02","","2","2","","01","","1","2","4","3","2","1","15","1","233","0003830",2442
"0003835","04","1","1","03","","2","9","","","","","","","","","","15","1","233","0003835",2288
"0003838","01","1","1","01","","3","3","","06","","2","","","4","2","1","15","1","232","0003838",1524
"0003839","03","1","1","01","03","4","3","","05","","2","","","4","1","","15","1","232","0003839",2653
"0003840","02","1","1","06","","2","2","","01","","4","","","9","9","","15","1","232","0003840",1718
"0003842","02","1","1","03","","1","2","","01","","2","","","2","2","8","15","1","233","0003842",2287
"0003842","03","1","1","01","","4","4","","05","2","","","","","","","15","1","233","0003842",2287
"0003843","02","2","1","02","","2","4","","05","1","1","","","1","2","9","15","1","232","0003843",1510
"0003843","02","3","1","01","","2","4","","05","1","1","","","1","2","9","15","1","232","0003843",1510
"0003845","01","1","1","03","","3","2","","05","","1","","","9","2","1","15","1","232","0003845",1884
"0003845","05","1","1","03","","2","4","","05","2","","","","","","","15","1","232","0003845",1884
"0003845","05","2","1","01","","2","2","","05","","2","","","3","2","2","15","1","232","0003845",1884
"0003846","04","1","1","01","02","4","4","","05","1","1","","","9","2","9","15","1","233","0003846",2302
"0003850","04","2","1","02","","3","2","","05","","2","","","9","2","1","15","1","232","0003850",1793
"0003852","05","1","1","03","","2","4","","05","2","","","","","","","15","1","232","0003852",2044
"0003853","01","1","1","03","","5","3","","05","","1","","","9","2","9","15","1","232","0003853",1554
"0003853","01","2","1","01","02","3","2","","05","","2","","","9","2","2","15","1","232","0003853",1554
"0003855","05","1","1","03","","2","3","","02","","2","","","3","1","","15","1","232","0003855",2290
"0003858","05","1","1","04","","4","3","","03","","1","","","2","2","8","15","1","232","0003858",1781
"0003858","05","1","2","06","","3","3","","03","","1","","","2","2","3","15","1","232","0003858",1781
"0003861","01","1","1","02","","3","2","","05","","9","","","9","2","9","15","1","232","0003861",2289
"0003861","02","2","1","01","","6","4","","05","2","","","","","","","15","1","232","0003861",2289
"0003866","02","1","1","01","","3","4","","05","2","","","","","","","15","1","232","0003866",2633
"0003873","01","1","1","01","","3","4","","05","2","","","","","","","15","1","232","0003873",3603
"0003874","02","1","1","01","","3","1","6","","","","","","","","","15","1","232","0003874",3088
"0003874","04","1","1","01","","4","2","","05","","1","2","","5","2","2","15","1","232","0003874",3088
"0003874","05","1","1","01","","2","2","","05","","4","","","5","1","","15","1","232","0003874",3088
"0003877","01","1","1","02","","3","2","","01","","1","2","","2","2","8","15","1","232","0003877",2787
"0003877","02","1","1","02","01","4","2","","05","","2","","","1","1","","15","1","232","0003877",2787
"0003877","03","1","1","02","","4","4","","03","2","","","","","","","15","1","232","0003877",2787
"0003878","05","1","1","05","","7","2","","05","","2","","","1","2","5","15","1","232","0003878",1780
"0003880","03","1","1","01","","3","4","","05","1","2","","","1","2","5","15","1","232","0003880",1831
"0003880","04","1","1","03","","2","4","","05","1","1","2","","1","2","8","15","1","232","0003880",1831
"0003881","02","1","1","01","","3","2","","01","","2","","","1","1","","15","1","233","0003881",3493
"0003882","02","1","1","01","","4","4","","05","2","","","","","","","15","1","232","0003882",2171
"0003882","03","1","1","02","","3","4","","05","2","","","","","","","15","1","232","0003882",2171
"0003883","02","1","1","03","","3","4","","05","1","2","","","2","2","1","15","1","233","0003883",2416
"0003883","03","1","1","01","","3","4","","01","1","2","","","2","1","","15","1","233","0003883",2416
"0003883","05","1","1","02","","4","4","","01","1","2","","","3","1","","15","1","233","0003883",2416
"0003885","02","1","1","01","","2","4","","05","2","","","","","","","15","1","232","0003885",1475
"0003885","03","1","1","01","","4","4","","05","1","2","","","3","2","2","15","1","232","0003885",1475
"0003886","01","1","1","02","","2","1","6","","","","","","","","","15","1","232","0003886",2179
"0003886","03","1","1","01","","2","4","","05","2","","","","","","","15","1","232","0003886",2179
"0003888","04","1","1","01","","4","4","","05","2","","","","","","","15","1","232","0003888",2346
"0003889","03","1","1","02","","3","2","","03","","5","","","3","1","","15","1","232","0003889",2217
"0003889","05","1","1","01","","2","4","","02","2","","","","","","","15","1","232","0003889",2217
"0003894","02","1","1","01","","2","2","","05","","2","","","4","1","","15","1","232","0003894",2241
"0003896","03","1","1","01","","3","9","","","","","","","","","","15","1","232","0003896",1952
"0003897","05","1","1","01","","1","4","","05","2","","","","","","","15","1","232","0003897",2231
"0003898","02","1","1","03","","2","2","","05","","2","","","2","9","","15","1","232","0003898",2382
"0003898","03","1","1","01","","2","2","","05","","1","","","9","9","","15","1","232","0003898",2382
"0003898","04","1","1","01","","2","4","","05","1","4","","","2","1","","15","1","232","0003898",2382
"0003899","05","1","1","03","","2","4","","05","2","","","","","","","15","1","232","0003899",3027
"0003900","01","1","1","01","","2","4","","03","1","1","2","","1","2","9","15","1","232","0003900",1891
"0003901","01","1","1","02","","2","2","","02","","2","","","2","2","1","15","1","232","0003901",2272
"0003901","03","1","1","08","","2","4","","03","2","","","","","","","15","1","232","0003901",2272
"0003901","04","1","1","01","","9","4","","03","2","","","","","","","15","1","232","0003901",2272
"0003904","02","1","1","06","","3","3","","05","","1","","","2","2","8","15","1","232","0003904",2668
"0003904","03","1","1","01","","2","2","","05","","2","","","2","2","9","15","1","232","0003904",2668
"0003905","03","1","1","01","","3","3","","05","","1","2","","3","2","8","15","1","233","0003905",3118
"0003906","05","1","1","01","","3","1","5","","","","","","","","","15","1","232","0003906",2267
"0003907","01","2","1","01","","4","4","","07","1","1","","","2","1","","15","1","232","0003907",1668
"0003908","02","1","1","03","","2","1","3","","","","","","","","","15","1","232","0003908",1478
"0003908","03","1","1","08","","1","1","5","","","","","","","","","15","1","232","0003908",1478
"0003908","05","1","1","04","","3","1","5","","","","","","","","","15","1","232","0003908",1478
"0003910","02","1","1","01","","3","9","","","","","","","","","","15","1","232","0003910",1422
"0003912","05","1","1","01","","3","2","","03","","1","","","9","2","9","15","1","233","0003912",1406
"0003914","02","1","1","02","","2","4","","05","1","1","2","","9","1","","15","1","232","0003914",2060
"0003915","02","1","1","02","","1","1","5","","","","","","","","","15","1","232","0003915",3017
"0003915","04","1","1","02","","2","3","","05","","5","","","2","1","","15","1","232","0003915",3017
"0003916","04","1","1","02","","3","3","","05","","5","","","2","2","8","15","1","232","0003916",1487
"0003920","02","1","1","02","","2","2","","05","","1","6","","9","2","9","15","1","232","0003920",1712
"0003922","02","1","1","01","","2","1","5","","","","","","","","","15","1","232","0003922",2693
"0003925","01","1","1","03","","2","1","5","","","","","","","","","15","1","232","0003925",1624
"0003926","04","2","1","01","","2","4","","05","1","1","5","","2","2","1","15","1","232","0003926",2135
"0003928","01","1","1","03","","3","4","","05","2","","","","","","","15","1","233","0003928",2398
"0003928","05","1","1","02","","2","4","","05","1","1","4","","1","2","8","15","1","233","0003928",2398
"0003929","05","1","1","03","","2","2","","05","","2","","","4","1","","15","1","233","0003929",3471
"0003930","03","1","1","03","","2","2","","05","","2","","","9","2","1","15","1","232","0003930",1959
"0003932","05","1","1","03","","2","4","","05","2","","","","","","","15","1","232","0003932",2510
"0003933","01","1","1","03","","1","2","","05","","1","","","1","2","5","15","1","232","0003933",3864
"0003933","01","1","2","04","","2","2","","05","","1","","","1","2","3","15","1","232","0003933",3864
"0003933","03","1","1","02","","2","4","","05","1","1","","","1","2","5","15","1","232","0003933",3864
"0003933","05","1","1","01","","1","2","","05","","3","","","2","2","2","15","1","232","0003933",3864
"0003934","05","1","1","01","","3","4","","03","2","","","","","","","15","1","232","0003934",3199
"0003940","04","1","1","01","","3","2","","03","","5","","","4","2","1","15","1","233","0003940",2672
"0003941","01","1","1","02","","2","3","","05","","4","","","2","2","1","15","1","234","0003941",2109
"0003941","02","1","1","01","","2","4","","07","2","","","","","","","15","1","234","0003941",2109
"0003941","03","1","1","02","","3","2","","08","","2","","","3","2","1","15","1","234","0003941",2109
"0003945","03","1","1","01","","2","2","","03","","2","","","1","1","","15","1","233","0003945",2704
"0003948","05","1","1","04","","2","4","","06","2","","","","","","","15","1","232","0003948",2537
"0003949","02","1","1","01","","1","1","5","","","","","","","","","15","1","232","0003949",3434
"0003950","01","1","1","01","","2","3","","07","","2","","","2","2","1","15","1","232","0003950",2715
"0003951","03","1","1","01","","2","4","","05","2","","","","","","","15","1","232","0003951",3002
"0003952","03","1","1","04","","3","2","","05","","2","","","1","1","","15","1","233","0003952",1776
"0003952","05","1","1","03","","4","1","5","","","","","","","","","15","1","233","0003952",1776
"0003957","01","1","1","01","","3","9","","","","","","","","","","15","1","233","0003957",3249
"0003958","03","1","1","01","","2","3","","05","","4","","","4","1","","15","1","240","0003958",3132
"0003959","03","1","1","02","","2","2","","05","","2","","","1","2","2","15","1","241","0003959",3472
"0003959","03","1","2","04","","2","2","","05","","4","","","3","2","2","15","1","241","0003959",3472
"0003960","01","1","1","02","","2","1","5","","","","","","","","","15","1","240","0003960",1941
"0003960","01","1","2","03","","3","4","","01","2","","","","","","","15","1","240","0003960",1941
"0003960","01","1","3","04","","4","2","","05","","4","","","2","2","5","15","1","240","0003960",1941
"0003960","02","1","1","01","","3","2","","05","","1","3","","1","2","1","15","1","240","0003960",1941
"0003960","03","1","1","01","","3","3","","05","","2","4","","5","2","1","15","1","240","0003960",1941
"0003960","04","1","1","04","","1","1","5","","","","","","","","","15","1","240","0003960",1941
"0003961","01","1","1","03","","2","4","","05","1","1","2","","3","2","2","15","1","239","0003961",1564
"0003961","03","1","1","01","","3","2","","03","","1","","","4","2","3","15","1","239","0003961",1564
"0003961","03","1","2","03","","3","2","","05","","1","2","","4","2","3","15","1","239","0003961",1564
"0003962","04","1","1","04","","3","4","","05","2","","","","","","","15","1","240","0003962",1355
"0003962","04","1","2","01","","3","4","","05","2","","","","","","","15","1","240","0003962",1355
"0003962","04","1","3","02","","3","4","","05","2","","","","","","","15","1","240","0003962",1355
"0003963","04","1","1","03","","9","3","","05","","1","","","2","2","5","15","1","240","0003963",3392
"0003963","05","1","1","03","","2","1","5","","","","","","","","","15","1","240","0003963",3392
"0003966","03","1","1","01","","2","4","","05","1","1","","","2","1","","15","1","239","0003966",1714
"0003966","04","1","1","01","","3","4","","05","1","1","","","5","1","","15","1","239","0003966",1714
"0003967","02","2","1","01","","2","4","","05","2","","","","","","","15","1","241","0003967",2941
"0003967","02","2","2","01","","2","4","","05","2","","","","","","","15","1","241","0003967",2941
"0003968","01","1","1","02","","3","4","","05","2","","","","","","","15","1","241","0003968",3844
"0003969","02","1","1","02","","2","4","","08","2","","","","","","","15","1","239","0003969",1880
"0003970","01","1","1","01","","3","4","","05","1","4","","","1","2","3","15","1","239","0003970",1767
"0003971","03","1","1","02","","1","4","","05","1","1","","","1","2","5","15","1","239","0003971",2593
"0003974","02","1","1","01","02","3","3","","05","","4","","","9","2","1","15","1","232","0003974",2170
"0003976","03","1","1","03","","1","4","","05","1","1","4","","1","1","","15","1","232","0003976",4093
"0003979","04","1","1","01","02","2","4","","03","1","1","","","1","1","","15","1","233","0003979",4516
"0003981","03","1","1","02","","2","1","4","","","","","","","","","15","1","233","0003981",2431
"0003982","04","1","1","03","","4","4","","05","2","","","","","","","15","1","234","0003982",3409
"0003984","01","1","1","04","","1","1","3","","","","","","","","","15","1","232","0003984",1891
"0003984","03","1","1","01","","1","4","","05","2","","","","","","","15","1","232","0003984",1891
"0003985","02","1","1","02","","2","2","","05","","2","","","3","2","1","15","1","233","0003985",3826
"0003985","04","1","1","01","","2","4","","05","2","","","","","","","15","1","233","0003985",3826
"0003986","01","1","1","03","","3","3","","02","","2","","","3","2","1","15","1","233","0003986",2710
"0003986","04","1","1","03","","2","2","","05","","1","2","","2","2","2","15","1","233","0003986",2710
"0003989","05","1","1","01","","2","3","","05","","1","2","6","2","2","2","15","1","233","0003989",3121
"0003990","03","1","1","01","","4","2","","03","","2","","","2","2","1","15","1","233","0003990",2986
"0003990","05","2","1","01","","3","2","","05","","2","","","3","1","","15","1","233","0003990",2986
"0003992","01","1","1","02","","3","4","","07","2","","","","","","","15","1","234","0003992",5003
"0003992","01","1","2","03","","4","4","","01","2","","","","","","","15","1","234","0003992",5003
"0003992","01","1","3","04","","4","4","","01","2","","","","","","","15","1","234","0003992",5003
"0003993","01","1","1","03","","5","2","","05","","1","4","","3","1","","15","1","234","0003993",5004
"0003993","01","1","2","04","","5","2","","05","","1","5","","3","2","5","15","1","234","0003993",5004
"0003994","01","1","1","01","","1","1","5","","","","","","","","","15","1","234","0003994",6544
"0003995","03","1","1","03","","2","4","","05","2","","","","","","","15","1","233","0003995",2897
"0003996","02","1","1","02","","3","2","","01","","2","","","2","2","1","15","1","232","0003996",2482
"0003996","05","1","1","03","","4","2","","02","","1","","","1","2","4","15","1","232","0003996",2482
"0003998","01","1","1","02","","4","4","","03","2","","","","","","","15","1","232","0003998",2265
"0003998","04","1","1","02","01","5","3","","05","","1","","","1","2","1","15","1","232","0003998",2265
"0003999","01","1","1","01","","4","3","","05","","2","","","1","2","8","15","1","232","0003999",1896
"0003999","02","1","1","04","","4","4","","05","2","","","","","","","15","1","232","0003999",1896
"0003999","05","1","1","02","","4","3","","05","","1","","","1","2","6","15","1","232","0003999",1896
"0004000","02","1","1","01","","3","3","","01","","2","","","1","2","1","15","1","232","0004000",2646
"0004000","05","1","1","01","","3","4","","03","1","1","","","2","2","1","15","1","232","0004000",2646
"0004001","05","1","1","01","","2","1","5","","","","","","","","","15","1","232","0004001",2556
"0004002","01","1","1","01","","3","4","","01","2","","","","","","","15","1","232","0004002",3438
"0004002","02","1","1","01","","2","4","","01","2","","","","","","","15","1","232","0004002",3438
"0004004","05","1","1","01","02","3","4","","05","2","","","","","","","15","2","235","0004004",2368
"0004005","04","1","1","01","","2","3","","03","","1","","","1","2","2","15","2","246","0004005",3115
"0004005","08","1","1","02","","4","4","","01","2","","","","","","","15","2","246","0004005",3115
"0004006","05","1","1","03","","3","4","","05","2","","","","","","","15","2","246","0004006",4250
"0004006","14","1","1","02","","3","4","","05","1","1","","","1","2","5","15","2","246","0004006",4250
"0004006","19","1","1","04","","2","4","","05","1","1","","","1","2","1","15","2","246","0004006",4250
"0004007","05","1","1","01","","3","4","","05","2","","","","","","","15","2","243","0004007",2153
"0004008","01","1","1","01","","3","1","4","","","","","","","","","15","2","235","0004008",2631
"0004009","01","2","1","01","","4","4","","05","2","","","","","","","15","2","242","0004009",3242
"0004009","03","1","1","02","","3","4","","05","2","","","","","","","15","2","242","0004009",3242
"0004009","04","2","1","01","","4","4","","05","2","","","","","","","15","2","242","0004009",3242
"0004009","05","1","1","01","","3","4","","05","2","","","","","","","15","2","242","0004009",3242
"0004009","05","2","1","01","","3","4","","05","2","","","","","","","15","2","242","0004009",3242
"0004009","05","4","1","01","","1","4","","07","2","","","","","","","15","2","242","0004009",3242
"0004010","02","1","1","02","","4","4","","03","1","3","","","3","2","3","15","2","244","0004010",7075
"0004010","02","1","2","04","","3","2","","05","","1","","","4","2","8","15","2","244","0004010",7075
"0004010","03","1","1","01","","2","4","","05","2","","","","","","","15","2","244","0004010",7075
