"FOLIO","VIV_SEL","HOGAR","C_DENEVI","P3A2_2","P3A2_3","P3A3","P3A4","P3A5","P3A6","P3A7","P3A8_1","P3A8_2","P3A8_3","P3A9","P3A10","P3A11","ENT","TLOC","EST_DIS","UPM_DIS","FACTOR"
"0000119","04","1","1","03","","2","3","","01","","2","","","5","1","","01","1","003","0000119",216
"0000120","01","1","1","02","","2","4","","01","2","","","","","","","01","1","003","0000120",259
"0000120","02","1","1","02","","2","3","","03","","1","","","3","2","1","01","1","003","0000120",259
"0000121","04","1","1","01","","2","2","","03","","1","7","","3","2","1","01","1","002","0000121",223
"0000122","05","1","1","01","","3","2","","07","","1","","","2","2","2","01","1","001","0000122",195
"0000123","02","1","1","01","","2","1","5","","","","","","","","","01","1","002","0000123",206
"0000125","01","1","1","01","","3","4","","05","2","","","","","","","01","1","003","0000125",224
"0000125","01","1","2","02","","2","2","","05","","1","","","4","2","1","01","1","003","0000125",224
"0000125","03","1","1","01","","3","3","","02","","3","","","4","2","1","01","1","003","0000125",224
"0000126","01","1","1","01","","3","2","","05","","2","","","2","2","8","01","1","002","0000126",212
"0000129","05","1","1","01","","2","1","5","","","","","","","","","01","1","002","0000129",223
"0000130","02","1","1","01","","2","3","","01","","6","","","3","2","1","01","1","002","0000130",227
"0000131","03","1","1","04","","3","3","","05","","1","","","3","1","","01","1","002","0000131",229
"0000131","04","1","1","02","","2","2","","05","","5","","","3","2","1","01","1","002","0000131",229
"0000133","02","1","1","01","","3","2","","03","","2","","","3","2","1","01","1","002","0000133",172
"0000133","05","1","1","01","","4","2","","06","","1","","","5","1","","01","1","002","0000133",172
"0000135","03","1","1","05","04","2","1","3","","","","","","","","","01","1","002","0000135",213
"0000137","03","1","1","01","","2","1","4","","","","","","","","","01","1","002","0000137",232
"0000137","05","1","1","02","","3","2","","05","","4","","","4","1","","01","1","002","0000137",232
"0000140","03","1","1","02","01","3","3","","05","","1","2","","3","1","","01","1","002","0000140",222
"0000140","04","1","1","02","","3","4","","01","1","1","4","6","4","2","1","01","1","002","0000140",222
"0000141","01","1","1","02","","3","2","","05","","2","","","3","1","","01","1","002","0000141",212
"0000141","02","1","1","02","","2","2","","05","","1","2","4","3","1","","01","1","002","0000141",212
"0000141","04","1","1","04","","2","2","","05","","2","","","9","2","1","01","1","002","0000141",212
"0000142","01","1","1","03","","2","4","","10","1","1","","","9","1","","01","1","002","0000142",212
"0000143","05","1","1","02","","3","2","","05","","2","","","9","2","2","01","1","002","0000143",192
"0000148","02","1","1","03","","2","1","6","","","","","","","","","01","1","002","0000148",196
"0000154","02","1","1","02","","2","4","","05","2","","","","","","","01","1","002","0000154",214
"0000155","05","1","1","03","","3","4","","02","2","","","","","","","01","1","001","0000155",186
"0000156","04","1","1","02","","3","4","","05","2","","","","","","","01","1","002","0000156",270
"0000157","02","1","1","01","","2","3","","07","","1","4","","4","2","1","01","1","002","0000157",207
"0000157","05","1","1","01","","3","3","","02","","2","","","3","1","","01","1","002","0000157",207
"0000161","03","1","1","01","","2","3","","05","","1","2","","3","2","1","01","1","002","0000161",194
"0000161","03","1","2","03","","2","1","2","","","","","","","","","01","1","002","0000161",194
"0000162","04","1","1","02","","1","3","","05","","2","","","2","1","","01","1","002","0000162",202
"0000164","03","1","1","02","","2","2","","05","","2","4","","3","2","2","01","1","001","0000164",217
"0000164","04","1","1","01","","3","3","","05","","2","","","2","2","1","01","1","001","0000164",217
"0000165","01","1","1","01","02","3","4","","05","2","","","","","","","01","1","002","0000165",179
"0000165","02","1","1","01","","3","3","","05","","2","4","","3","1","","01","1","002","0000165",179
"0000165","04","1","1","01","","2","4","","05","1","4","","","3","2","2","01","1","002","0000165",179
"0000166","03","1","1","02","","2","2","","05","","2","4","","3","1","","01","1","002","0000166",225
"0000166","05","1","1","04","","3","1","6","","","","","","","","","01","1","002","0000166",225
"0000167","03","1","1","05","","2","1","9","","","","","","","","","01","1","001","0000167",221
"0000174","01","1","1","01","","3","4","","01","2","","","","","","","01","1","003","0000174",225
"0000175","02","1","1","01","02","2","2","","02","","2","","","4","1","","01","1","003","0000175",229
"0000176","05","1","1","02","","3","3","","01","","5","","","3","1","","01","1","003","0000176",241
